agency_id,agency_name,license_number,status,contact_info,city
AG001,Mumtaz Agencies,0008 / RWP,Active,,Rawalpindi
AG002,Al-Hadait Industries,0021 / SKT,Active,,Sialkot
AG003,Haroon Recruiting Agency,0035 / KAR,Active,,Karachi
AG004,Eastern Commodities Corporation,0036 / KAR,Active,,Karachi
AG005,Chaudhry Recruting Agency,0055 / GRT,Active,,Gujrat
AG006,Al-Amal Company,0056 / RWP,Active,,Rawalpindi
AG007,Mackinon Mackenzie Co. of Pak,0077 / KAR,Active,,Karachi
AG008,Allied Services International Ltd.,0089 / KAR,Active,,Karachi
AG009,Popular International Recruiting Agency,0110 / LHR,Active,,Lahore
AG010,Continental Travels,0114 / LHR,Active,,Lahore
AG011,Humayun Travel Service,0118 / RWP,Active,,Rawalpindi
AG012,Barlex Agencies,0121 / LHR,Active,,Lahore
AG013,Gullivers,0122 / KAR,Active,,Karachi
AG014,Tahir and Company,0132 / KAR,Active,,Karachi
AG015,Jan Muhammad & Sons,0140 / RWP,Active,,Rawalpindi
AG016,Warraich Enterprises,0167 / LHR,Active,,Lahore
AG017,Islamabad Air Services,0169 / RWP,Active,,Rawalpindi
AG018,Shameem Express,0176 / RWP,Active,,Rawalpindi
AG019,Fazal Muqeem Qazi,0233 / PWR,Active,,
AG020,Speed Man,0234 / KAR,Active,,Karachi
AG021,Universal Employment Center,0237 / KAR,Active,,Karachi
AG022,Syed Sarwar Shah,0250 / KAR,Active,,Karachi
AG023,Mehran International Traders,0255 / KAR,Active,,Karachi
AG024,Excellent Trading Corp. Ltd,0299 / KAR,Active,,Karachi
AG025,Mughal Traders,0305 / KAR,Active,,Karachi
AG026,Fauji Foundation,0310 / RWP,Active,,Rawalpindi
AG027,Hameed Recruiting Agency,0316 / RWP,Active,,Rawalpindi
AG028,Khaleeq Recruiting Agency,0319 / RWP,Active,,Rawalpindi
AG029,Pakistan Progressive Associates,0332 / LHR,Active,,Lahore
AG030,Al-Khair,0333 / KAR,Active,,Karachi
AG031,Personnel Services Bureau,0345 / KAR,Active,,Karachi
AG032,Shaheen Traders,0353 / KAR,Active,,Karachi
AG033,Peoples Travel,0374 / RWP,Active,,Rawalpindi
AG034,Crystel (Over Wing) Enterprises,0393 / SKT,Active,,Sialkot
AG035,Azam Internnational Agency,0395 / RWP,Active,,Rawalpindi
AG036,Al-Yasin Enterprises,0405 / RWP,Active,,Rawalpindi
AG037,Al-Baig Enterprises,0418 / GRT,Active,,Gujrat
AG038,A-1 Agency,0444 / RWP,Active,,Rawalpindi
AG039,Rajput Recruiting Agency,0450 / RWP,Active,,Rawalpindi
AG040,Al-Aslam Enterprises,0464 / RWP,Active,,Rawalpindi
